id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id3012325,2,2016/5/10 0:00,2016/5/10 0:10,1,-73.9936676,40.72100449,-73.95896149,40.71776962,N,594
id3325072,1,2016/5/10 0:00,2016/5/10 0:07,1,-73.98197174,40.76203537,-73.97318268,40.74835968,N,430
id0448071,1,2016/5/10 0:01,2016/5/10 0:08,2,-73.90438843,40.74534225,-73.89492798,40.73269272,N,389
id0888264,1,2016/5/10 0:02,2016/5/10 0:10,2,-74.00868225,40.71590424,-73.99452972,40.74100494,N,476
id2602485,2,2016/5/10 0:02,2016/5/10 0:08,1,-73.99330139,40.74884033,-73.97776031,40.74599838,N,365
id1324418,2,2016/5/10 0:02,2016/5/10 0:10,1,-73.99485016,40.74946213,-74.00576782,40.73312759,N,430
id2726839,2,2016/5/10 0:02,2016/5/10 0:16,2,-74.00872803,40.7194519,-73.98023224,40.72470093,N,797
id3835446,2,2016/5/10 0:03,2016/5/10 0:23,2,-73.97151184,40.75772095,-73.90917969,40.77674866,N,1238
id1375102,2,2016/5/10 0:03,2016/5/10 0:16,2,-73.99398804,40.75096893,-73.97799683,40.71343994,N,816
id1920790,1,2016/5/10 0:04,2016/5/10 0:20,1,-74.00541687,40.75089645,-73.94059753,40.84537506,N,950
id2036550,2,2016/5/10 0:05,2016/5/10 0:38,2,-73.96276093,40.77402878,-73.85786438,40.75398254,N,2002
id0002787,1,2016/5/10 0:05,2016/5/10 0:35,1,-73.79020691,40.64359283,-73.9482193,40.78084183,N,1764
id0072478,1,2016/5/10 0:06,2016/5/10 0:16,1,-73.9910965,40.74994659,-73.98209381,40.76896286,N,603
id2723645,1,2016/5/10 0:06,2016/5/10 0:18,1,-73.98792267,40.74972153,-73.99467468,40.71883774,N,681
id3296801,1,2016/5/10 0:07,2016/5/10 0:17,1,-73.97827148,40.75254822,-73.99144745,40.73206711,N,634
id0565843,1,2016/5/10 0:07,2016/5/10 0:16,1,-74.00556183,40.7509613,-74.00489807,40.73144531,N,543
id0696034,2,2016/5/10 0:08,2016/5/10 0:43,1,-73.95520782,40.76398087,-73.76609039,40.76553726,N,2111
id1923202,1,2016/5/10 0:08,2016/5/10 0:20,1,-74.01023865,40.72087479,-73.99130249,40.74315643,N,712
id2910347,1,2016/5/10 0:08,2016/5/10 0:16,1,-73.98116302,40.76109695,-73.9600296,40.77041245,N,447
id2523983,1,2016/5/10 0:08,2016/5/10 0:14,1,-73.96728516,40.76922989,-73.95172882,40.76628876,N,311
id3346070,1,2016/5/10 0:09,2016/5/10 0:18,2,-73.99153137,40.72693253,-73.98005676,40.74829483,N,504
id2541782,2,2016/5/10 0:09,2016/5/10 0:12,2,-73.98163605,40.74705124,-73.97275543,40.7550087,N,171
id0859722,2,2016/5/10 0:10,2016/5/10 0:16,2,-73.99340057,40.7359581,-73.97955322,40.74398041,N,322
id0787905,2,2016/5/10 0:11,2016/5/10 0:47,5,-73.99338531,40.74304199,-73.97800446,40.60823059,N,2160
id1065374,2,2016/5/10 0:11,2016/5/10 0:14,5,-73.97879791,40.75955963,-73.97258759,40.75653076,N,172
id3685831,2,2016/5/10 0:11,2016/5/10 0:21,1,-73.98267365,40.73122025,-73.9458313,40.7820015,N,613
id3103566,1,2016/5/10 0:11,2016/5/10 0:18,1,-73.96914673,40.75456238,-73.99210358,40.73122787,N,378
id3635639,1,2016/5/10 0:12,2016/5/10 0:20,1,-73.99320984,40.7424469,-73.9890976,40.71883011,N,514
id2116910,2,2016/5/10 0:12,2016/5/10 0:35,5,-74.0115509,40.70347595,-73.93899536,40.66648102,N,1359
id3489347,1,2016/5/10 0:12,2016/5/10 0:15,2,-74.00150299,40.74664307,-74.0022583,40.73965836,N,156
id1733304,1,2016/5/10 0:12,2016/5/10 0:22,1,-73.9417038,40.78735733,-73.91786194,40.82374954,N,570
id2019297,2,2016/5/10 0:13,2016/5/10 0:16,1,-73.98239899,40.76586914,-73.98557281,40.75867081,N,220
id1702628,1,2016/5/10 0:14,2016/5/10 0:29,1,-73.95822906,40.71344376,-73.98879242,40.74520493,N,874
id2470978,2,2016/5/10 0:14,2016/5/10 0:28,1,-73.98540497,40.73568726,-73.94886017,40.7892189,N,797
id1348210,2,2016/5/10 0:15,2016/5/10 0:18,5,-74.00262451,40.73410797,-73.99354553,40.73600006,N,210
id2630231,1,2016/5/10 0:15,2016/5/10 0:30,1,-73.99224091,40.74953079,-73.96044159,40.81661224,N,934
id1885893,2,2016/5/10 0:15,2016/5/10 0:27,2,-73.9887085,40.76013184,-73.99964905,40.73286819,N,724
id3570634,1,2016/5/10 0:16,2016/5/10 0:37,1,-74.00911713,40.7109375,-73.98683167,40.76947403,N,1230
id0995131,1,2016/5/10 0:16,2016/5/10 0:24,2,-73.98627472,40.75648117,-73.99165344,40.73533249,N,439
id0332833,2,2016/5/10 0:17,2016/5/10 0:34,2,-73.97704315,40.75810242,-73.91143036,40.76428604,N,1041
id3470223,2,2016/5/10 0:17,2016/5/10 0:20,1,-73.99819183,40.74509048,-73.98509979,40.73984909,N,216
id2165376,1,2016/5/10 0:18,2016/5/10 0:23,1,-74.00164032,40.74110031,-73.98141479,40.75111771,N,322
id1299270,2,2016/5/10 0:18,2016/5/10 0:23,2,-73.96756744,40.75595093,-73.97949219,40.74950027,N,291
id3790191,2,2016/5/10 0:18,2016/5/10 0:28,2,-73.98970032,40.72962952,-73.98210907,40.74647141,N,575
id2791847,1,2016/5/10 0:19,2016/5/10 0:28,2,-73.98387146,40.72710419,-73.98168945,40.75569153,N,539
id3071329,1,2016/5/10 0:20,2016/5/10 0:40,1,-73.95678711,40.77359772,-73.91610718,40.77950668,N,1250
id2335005,2,2016/5/10 0:20,2016/5/10 0:27,6,-73.97246552,40.75901031,-73.97679901,40.7476387,N,444
id2195843,2,2016/5/10 0:20,2016/5/10 0:31,1,-74.00541687,40.73821259,-73.99765778,40.71816635,N,633
id3493860,1,2016/5/10 0:21,2016/5/10 0:27,1,-73.95496368,40.77779388,-73.94433594,40.80230713,N,376
id0440360,1,2016/5/10 0:21,2016/5/10 0:22,1,-73.93492889,40.74100113,-73.93492889,40.74100113,N,96
id2469150,2,2016/5/10 0:21,2016/5/10 0:43,2,-73.8729248,40.77400589,-74.00949097,40.70663834,N,1291
id3242273,2,2016/5/10 0:21,2016/5/10 0:37,2,-73.98190308,40.76858521,-73.91759491,40.7583313,N,951
id0064356,2,2016/5/10 0:22,2016/5/10 0:32,1,-73.99093628,40.73022079,-73.98329163,40.75888824,N,643
id2207725,1,2016/5/10 0:22,2016/5/10 0:31,1,-73.99694061,40.73337173,-73.98101044,40.76571274,N,556
id1468199,1,2016/5/10 0:22,2016/5/10 0:38,1,-73.9997406,40.73875809,-73.94138336,40.78765106,N,952
id3702002,2,2016/5/10 0:22,2016/5/10 0:38,1,-73.97709656,40.76121902,-73.97969818,40.72307968,N,934
id2032145,1,2016/5/10 0:23,2016/5/10 0:30,1,-73.9907608,40.75094986,-73.97840881,40.7413826,N,411
id2585977,1,2016/5/10 0:23,2016/5/10 0:38,2,-73.98843384,40.73128891,-73.96998596,40.6940155,N,890
id1457099,2,2016/5/10 0:25,2016/5/10 0:28,1,-73.9858017,40.72956085,-73.97744751,40.73825836,N,190
id0105156,2,2016/5/10 0:25,2016/5/10 0:48,5,-73.97203064,40.76567459,-73.85256195,40.7388649,N,1366
id2346282,1,2016/5/10 0:25,2016/5/10 0:32,1,-73.99980164,40.73459244,-73.98012543,40.72696304,N,445
id0046156,1,2016/5/10 0:25,2016/5/10 0:55,1,-73.97635651,40.76286316,-73.95716858,40.6877594,N,1803
